,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
10,Hákon Valdimarsson,GK,Brentford,1.0,0,0,0,0,0.0,109,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,7,0,0,0,0,1,0,372148,0,1,2,0.0,0,0,0,0,40,True,0,1
11,Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,16,0,0,0,0,1,0,5098,0,1,1,0.0,0,0,0,0,40,False,0,1
12,João Victor Gomes da Silva,MID,Wolves,0.6,0,0,11,0,3.2,553,0.02,0.02,0.0,1.24,2,2,0,1.2,8.6,2024-08-17T14:00:00Z,83,1,0,0,0,0,1,0,11511,1,0,2,0.0,1,0,0,0,50,False,1,1
13,Cole Palmer,MID,Chelsea,2.4,0,0,18,0,37.8,182,0.19,0.26,0.07,0.77,9,2,0,6.8,20.4,2024-08-18T15:30:00Z,90,13,0,0,0,0,1,0,3210033,1,2,0,10.0,2,0,0,0,105,True,0,1
14,Mitoma Kaoru,MID,Brighton,2.3,0,0,27,1,4.1,136,0.04,1.01,0.97,0.45,3,0,1,13.2,48.2,2024-08-17T14:00:00Z,88,8,0,0,0,0,1,0,164023,1,3,0,80.0,8,0,0,0,65,False,0,1
15,Boubakary Soumaré,MID,Leicester,0.5,0,0,3,0,0.3,285,0.0,0.0,0.0,0.25,10,0,0,0.1,0.2,2024-08-19T19:00:00Z,11,18,0,0,0,0,1,0,17951,0,1,1,0.0,1,0,0,0,45,True,0,1
16,Chris Wood,FWD,Nott'm Forest,2.0,0,3,30,1,5.7,447,0.02,0.73,0.71,0.63,6,0,1,5.9,32.2,2024-08-17T14:00:00Z,71,3,0,0,0,0,1,0,482451,1,1,1,21.0,9,0,0,0,60,True,0,1
17,Joe Worrall,DEF,Nott'm Forest,1.9,0,0,0,0,0.0,448,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,3,0,0,0,0,1,0,5973,0,1,1,0.0,0,0,0,0,45,True,0,1
18,Jeffrey Schlupp,MID,Crystal Palace,1.6,0,0,0,0,0.0,214,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,4,0,0,0,0,1,0,9877,0,1,2,0.0,0,0,0,0,50,False,0,1
19,Milos Kerkez,DEF,Bournemouth,1.9,0,0,5,0,12.7,70,0.01,0.01,0.0,1.3,6,1,0,2.7,12.0,2024-08-17T14:00:00Z,90,16,0,0,0,0,1,0,40065,1,1,1,2.0,1,0,0,0,45,False,1,1
20,Adrian Mazilu,MID,Brighton,1.0,0,0,0,0,0.0,133,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,8,0,0,0,0,1,0,3835,0,3,0,0.0,0,0,0,0,45,False,0,1
21,Jason Steele,GK,Brighton,2.2,0,1,31,1,0.0,142,0.0,0.0,0.0,0.45,3,0,0,1.9,18.6,2024-08-17T14:00:00Z,90,8,0,0,0,0,1,1,49675,1,3,0,0.0,7,0,0,0,45,False,0,1
22,Arijanet Muric,GK,Ipswich,1.2,0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,12,0,0,0,0,1,0,39121,0,2,0,0.0,0,0,0,0,45,True,0,1
23,Carl Rushworth,GK,Brighton,1.0,0,0,0,0,0.0,615,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,8,0,0,0,0,1,0,0,0,3,0,0.0,0,0,0,0,40,False,0,1
24,Ibrahim Sangaré,MID,Nott'm Forest,1.0,0,0,13,0,2.5,442,0.01,0.01,0.0,1.22,6,1,0,2.1,14.8,2024-08-17T14:00:00Z,90,3,0,0,0,0,1,0,185141,1,1,1,4.0,2,0,0,0,45,True,0,1
25,Hannibal Mejbri,MID,Man Utd,1.0,0,0,0,0,0.0,373,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,9,0,0,0,0,1,0,11598,0,0,1,0.0,0,0,0,0,45,True,0,1
26,Brandon Austin,GK,Spurs,1.5,0,0,0,0,0.0,479,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,11,0,0,0,0,1,0,33843,0,1,1,0.0,0,0,0,0,40,False,0,1
27,Conor Coady,DEF,Leicester,0.0,0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,18,0,0,0,0,1,0,24580,0,1,1,0.0,0,0,0,0,40,True,0,1
28,Wes Foderingham,GK,West Ham,2.2,0,0,0,0,0.0,522,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,2,0,0,0,0,1,0,14365,0,2,1,0.0,0,0,0,0,45,True,0,1
29,Armando Broja,FWD,Chelsea,0.7,0,0,0,0,0.0,156,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,7671,0,2,0,0.0,0,0,0,0,55,True,0,1
30,Adam Webster,DEF,Brighton,1.9,0,0,9,0,0.7,147,0.02,0.02,0.0,0.0,3,0,0,0.8,5.6,2024-08-17T14:00:00Z,14,8,0,0,0,0,1,0,9097,0,3,0,2.0,1,0,0,0,45,False,0,1
31,Thomas Partey,MID,Arsenal,2.6,0,0,16,1,43.6,20,0.06,0.12,0.06,0.47,2,0,0,5.9,14.4,2024-08-17T14:00:00Z,90,20,0,0,0,0,1,0,6975,1,0,2,1.0,3,0,0,0,50,True,0,1
32,Harry Wilson,MID,Fulham,2.0,0,0,4,0,3.9,259,0.01,0.01,0.0,0.87,1,1,0,0.8,0.2,2024-08-16T19:00:00Z,12,14,0,0,0,0,1,0,16297,0,0,1,4.0,1,0,0,0,55,False,0,1
33,Kasey McAteer,MID,Leicester,1.1,0,0,3,0,0.1,299,0.0,0.02,0.02,0.19,10,0,0,0.8,4.2,2024-08-19T19:00:00Z,4,18,0,0,0,0,1,0,3846,0,1,1,4.0,1,0,0,0,50,True,0,1
34,Curtis Jones,MID,Liverpool,3.0,0,0,0,0,0.0,324,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,10,0,0,0,0,1,0,9756,0,2,0,0.0,0,0,0,0,55,False,0,1
35,Wes Burns,MID,Ipswich,0.6,0,0,-2,0,1.8,264,0.0,0.0,0.0,0.46,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,56,12,0,0,0,0,1,0,8811,1,2,0,2.0,0,0,0,0,50,True,1,1
36,Yunus Emre Konak,MID,Brentford,1.0,0,0,0,0,0.0,97,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,7,0,0,0,0,1,0,5009,0,1,2,0.0,0,0,0,0,45,True,0,1
37,Max Kilman,DEF,West Ham,1.9,0,0,9,0,11.3,524,0.07,0.07,0.0,2.03,7,2,0,4.5,31.2,2024-08-17T16:30:00Z,90,2,0,0,0,0,1,0,73980,1,2,1,2.0,1,0,0,0,45,True,0,1
38,Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,8,0,0,0,0,1,0,1930,0,3,0,0.0,0,0,0,0,55,False,0,1
39,Alex Murphy,DEF,Newcastle,2.0,0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,17,0,0,0,0,1,0,69252,0,0,1,0.0,0,0,0,0,40,True,0,1
40,George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,12,0,0,0,0,1,0,15461,0,2,0,0.0,0,0,0,0,40,True,0,1
41,Sávio 'Savinho' Moreira de Oliveira,MID,Man City,3.3,0,0,8,0,36.4,571,0.16,0.16,0.0,0.3,9,0,0,5.2,11.6,2024-08-18T15:30:00Z,45,6,0,0,0,0,1,0,37980,1,2,0,4.0,1,0,0,0,65,False,0,1
42,Emerson Palmieri dos Santos,DEF,West Ham,1.9,0,0,5,0,2.5,520,0.02,0.06,0.04,2.03,7,2,0,2.6,6.6,2024-08-17T16:30:00Z,90,2,0,0,0,0,1,0,60284,1,2,1,17.0,1,0,0,0,45,True,0,1
43,Abdoulaye Doucouré,MID,Everton,2.0,0,0,2,0,3.2,217,0.01,0.15,0.14,1.13,3,2,0,1.1,2.4,2024-08-17T14:00:00Z,62,5,0,0,0,0,1,0,46194,1,3,0,5.0,2,0,0,0,55,True,0,1
44,José Malheiro de Sá,GK,Wolves,1.2,0,0,10,0,0.0,554,0.0,0.0,0.0,1.24,2,2,0,3.1,31.2,2024-08-17T14:00:00Z,90,1,0,0,0,0,1,4,205429,1,0,2,0.0,2,0,0,0,45,False,0,1
45,Alexander Isak,FWD,Newcastle,3.6,1,0,22,1,10.8,401,0.08,0.08,0.0,1.77,5,0,0,4.2,25.6,2024-08-17T14:00:00Z,90,17,0,0,0,0,1,0,5199017,1,0,1,6.0,5,0,0,0,85,True,0,1
46,Yves Bissouma,MID,Spurs,0.0,0,0,0,0,0.0,482,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,11,0,0,0,0,1,0,10961,0,1,1,0.0,0,0,0,0,50,False,0,1
47,Conor Gallagher,MID,Chelsea,1.2,0,0,0,0,0.0,169,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,80385,0,2,0,0.0,0,0,0,0,60,True,0,1
48,Philip Billing,MID,Bournemouth,1.6,0,0,1,0,0.0,76,0.0,0.0,0.0,0.26,6,0,0,0.4,2.0,2024-08-17T14:00:00Z,6,16,0,0,0,0,1,0,6497,0,1,1,2.0,1,0,0,0,50,False,0,1
49,Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.0,0,0,0,0,0.0,548,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,1,0,0,0,0,1,0,7971,0,0,2,0.0,0,0,0,0,55,False,0,1
50,Brajan Gruda,MID,Brighton,2.0,0,0,0,0,0.0,595,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,8,0,0,0,0,1,0,2682,0,3,0,0.0,0,0,0,0,55,False,0,1
51,Rodrigo 'Rodri' Hernandez,MID,Man City,0.0,0,0,0,0,0.0,360,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,6,0,0,0,0,1,0,443257,0,2,0,0.0,0,0,0,0,65,False,0,1
52,Đorđe Petrović,GK,Chelsea,1.2,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,70701,0,2,0,0.0,0,0,0,0,45,True,0,1
53,Craig Dawson,DEF,Wolves,0.9,0,0,2,0,0.0,542,0.0,0.0,0.0,0.0,2,0,0,0.2,2.4,2024-08-17T14:00:00Z,6,1,0,0,0,0,1,0,16382,0,0,2,0.0,1,0,0,0,45,False,0,1
54,Jordan Ayew,MID,Crystal Palace,2.0,0,0,-5,0,12.8,192,0.01,0.47,0.46,0.95,8,1,0,2.0,0.2,2024-08-18T13:00:00Z,20,4,0,0,0,0,1,0,40324,0,1,2,7.0,0,0,0,0,55,False,1,1
55,Marcos Senesi,DEF,Bournemouth,2.4,0,0,0,0,0.0,79,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,16,0,0,0,0,1,0,91548,0,1,1,0.0,0,0,0,0,50,False,0,1
56,Kiernan Dewsbury-Hall,MID,Chelsea,1.2,0,0,4,0,1.6,166,0.01,0.01,0.0,0.11,9,1,0,0.4,2.0,2024-08-18T15:30:00Z,24,13,0,0,0,0,1,0,23669,0,2,0,0.0,1,0,0,0,60,True,0,1
57,Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,19,0,0,0,0,1,0,2538,0,2,1,0.0,0,0,0,0,40,False,0,1
58,João Cavaco Cancelo,DEF,Man City,3.8,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,6,0,0,0,0,1,0,76789,0,2,0,0.0,0,0,0,0,55,False,0,1
59,Maxwel Cornet,MID,West Ham,1.6,0,0,0,0,0.0,515,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,2,0,0,0,0,1,0,2853,0,2,1,0.0,0,0,0,0,50,True,0,1
60,Jefferson Lerma Solís,MID,Crystal Palace,1.6,0,0,7,0,14.4,206,0.32,0.32,0.0,0.95,8,1,0,1.8,3.4,2024-08-18T13:00:00Z,16,4,0,0,0,0,1,0,5376,0,1,2,0.0,1,0,0,0,50,False,0,1
61,Jannik Vestergaard,DEF,Leicester,0.5,0,0,6,0,0.3,307,0.0,0.0,0.0,1.23,10,1,0,1.6,15.8,2024-08-19T19:00:00Z,90,18,0,0,0,0,1,0,145212,1,1,1,0.0,2,0,0,0,40,True,0,1
62,Luke Thomas,DEF,Leicester,0.5,0,0,0,0,0.0,305,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,18,0,0,0,0,1,0,51407,0,1,1,0.0,0,0,0,0,40,True,0,1
63,Bruno Borges Fernandes,MID,Man Utd,2.9,0,0,10,1,8.3,366,0.03,1.22,1.19,0.44,1,0,0,7.2,15.0,2024-08-16T19:00:00Z,90,9,0,0,0,0,1,0,1728175,1,0,1,49.0,3,0,0,0,85,True,0,1
64,Adam Smith,DEF,Bournemouth,1.9,0,0,8,0,4.5,81,0.01,0.01,0.0,1.02,6,1,0,1.2,7.8,2024-08-17T14:00:00Z,62,16,0,0,0,0,1,0,14466,1,1,1,0.0,2,0,0,0,45,False,0,1
65,Miodrag Pivaš,DEF,Newcastle,2.0,0,0,0,0,0.0,574,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,17,0,0,0,0,1,0,10005,0,0,1,0.0,0,0,0,0,40,True,0,1
66,Billy Gilmour,MID,Brighton,1.6,0,0,4,0,7.6,124,0.0,0.0,0.0,0.0,3,0,0,0.8,0.4,2024-08-17T14:00:00Z,8,8,0,0,0,0,1,0,14848,0,3,0,0.0,1,0,0,0,50,False,0,1
67,Rasmus Højlund,FWD,Man Utd,0.0,0,0,0,0,0.0,375,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,9,0,0,0,0,1,0,63276,0,0,1,0.0,0,0,0,0,70,True,0,1
68,Callum Wilson,FWD,Newcastle,0.0,0,0,0,0,0.0,421,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,17,0,0,0,0,1,0,8597,0,0,1,0.0,0,0,0,0,70,True,0,1
69,Crysencio Summerville,MID,West Ham,2.2,0,0,9,0,29.4,587,0.17,0.17,0.0,0.27,7,1,0,4.4,8.2,2024-08-17T16:30:00Z,17,2,0,0,0,0,1,0,86458,0,2,1,6.0,1,0,0,0,60,True,0,1
70,Jesurun Rak-Sakyi,MID,Crystal Palace,1.0,0,0,0,0,0.0,213,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,0,4,0,0,0,0,1,0,20807,0,1,2,0.0,0,0,0,0,45,False,0,1
71,Oliver Skipp,MID,Spurs,2.1,0,0,0,0,0.0,501,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,11,0,0,0,0,1,0,3601,0,1,1,0.0,0,0,0,0,50,False,0,1
72,Tomáš Souček,MID,West Ham,1.6,1,0,8,0,20.8,530,0.12,1.22,1.1,2.03,7,2,0,5.9,3.4,2024-08-17T16:30:00Z,90,2,0,0,0,0,1,0,210697,1,2,1,35.0,5,0,0,0,50,True,0,1
73,Taylor Harwood-Bellis,DEF,Southampton,0.0,0,0,6,0,14.0,461,0.02,0.02,0.0,0.25,5,1,0,3.8,17.6,2024-08-17T14:00:00Z,90,15,0,0,0,0,1,0,934150,1,0,1,6.0,1,0,0,0,40,False,1,1
74,Alphonse Areola,GK,West Ham,2.2,0,0,5,0,0.0,513,0.0,0.0,0.0,2.03,7,2,0,1.0,10.0,2024-08-17T16:30:00Z,90,2,0,0,0,0,1,1,858916,1,2,1,0.0,1,0,0,0,45,True,0,1
75,Lisandro Martínez,DEF,Man Utd,1.9,0,1,26,1,11.9,380,0.02,0.02,0.0,0.44,1,0,0,3.1,19.4,2024-08-16T19:00:00Z,90,9,0,0,0,0,1,0,403535,1,0,1,0.0,7,0,0,0,45,True,0,1
76,Richarlison de Andrade,FWD,Spurs,2.7,0,0,-1,0,1.0,497,0.0,0.19,0.19,0.06,10,0,0,0.7,0.0,2024-08-19T19:00:00Z,1,11,0,0,0,0,1,0,94269,0,1,1,7.0,1,0,0,0,70,False,0,1
77,Joško Gvardiol,DEF,Man City,4.2,0,1,30,1,3.3,350,0.02,0.05,0.03,1.01,9,0,0,3.2,23.2,2024-08-18T15:30:00Z,90,6,0,0,0,0,1,0,2793191,1,2,0,5.0,7,0,0,0,60,False,0,1
78,Harry Clarke,DEF,Ipswich,0.0,0,0,0,0,0.0,266,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,12,0,0,0,0,1,0,3114,0,2,0,0.0,0,0,0,0,40,True,0,1
79,Joachim Andersen,DEF,Crystal Palace,1.9,0,0,3,0,2.9,191,0.02,0.06,0.04,1.59,8,2,0,2.8,18.4,2024-08-18T13:00:00Z,90,4,0,0,0,0,1,0,1762243,1,1,2,7.0,0,0,0,0,45,False,1,1
80,Moisés Caicedo Corozo,MID,Chelsea,0.6,0,0,12,0,28.3,157,0.06,0.09,0.03,0.77,9,2,0,4.2,11.6,2024-08-18T15:30:00Z,90,13,0,0,0,0,1,0,57062,1,2,0,2.0,1,0,0,0,50,True,1,1
81,Carlos Henrique Casimiro,MID,Man Utd,1.6,0,0,19,1,39.9,368,0.5,0.66,0.16,0.44,1,0,0,8.0,26.8,2024-08-16T19:00:00Z,90,9,0,0,0,0,1,0,39317,1,0,1,13.0,3,0,0,0,50,True,0,1
82,Jhon Durán,FWD,Aston Villa,2.0,0,1,30,0,2.1,38,0.0,0.38,0.38,1.17,7,0,1,6.0,34.4,2024-08-17T16:30:00Z,28,19,0,0,0,0,1,0,23567,0,2,1,23.0,6,0,0,0,60,False,0,1
83,Jacob Murphy,MID,Newcastle,3.0,0,0,9,0,0.9,402,0.01,0.01,0.0,0.2,5,0,0,0.6,5.0,2024-08-17T14:00:00Z,29,17,0,0,0,0,1,0,193533,1,0,1,0.0,1,0,0,0,55,True,0,1
84,Sean Longstaff,MID,Newcastle,2.6,0,0,11,1,1.3,410,0.01,0.01,0.0,1.77,5,0,0,1.5,9.4,2024-08-17T14:00:00Z,90,17,0,0,0,0,1,0,103817,1,0,1,4.0,3,0,0,0,50,True,0,1
85,Leander Dendoncker,MID,Aston Villa,1.0,0,0,0,0,0.0,33,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,19,0,0,0,0,1,0,82976,0,2,1,0.0,0,0,0,0,45,False,0,1
86,Trevoh Chalobah,DEF,Chelsea,0.9,0,0,0,0,0.0,159,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,15983,0,2,0,0.0,0,0,0,0,45,True,0,1
87,Ryan Manning,DEF,Southampton,0.9,0,0,0,0,0.0,467,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,15,0,0,0,0,1,0,6978,0,0,1,0.0,0,0,0,0,45,False,0,1
88,Vitalii Mykolenko,DEF,Everton,1.9,0,0,-5,0,1.2,231,0.0,0.0,0.0,1.43,3,3,0,0.8,4.8,2024-08-17T14:00:00Z,90,5,0,0,0,0,1,0,854973,1,3,0,2.0,1,0,0,0,45,True,0,1
89,Ryan Christie,MID,Bournemouth,1.6,0,0,5,0,1.1,63,0.01,0.01,0.0,0.28,6,0,0,0.7,3.6,2024-08-17T14:00:00Z,27,16,0,0,0,0,1,0,22131,0,1,1,2.0,1,0,0,0,50,False,0,1
90,Fábio Silva,FWD,Wolves,0.4,0,0,0,0,0.0,545,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,1,0,0,0,0,1,0,27869,0,0,2,0.0,0,0,0,0,50,False,0,1
91,Kepa Arrizabalaga,GK,Chelsea,1.2,0,0,0,0,0.0,152,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,27495,0,2,0,0.0,0,0,0,0,45,True,0,1
92,Frank Onyeka,MID,Brentford,1.6,0,0,2,0,0.0,102,0.0,0.0,0.0,0.56,8,0,0,0.0,0.0,2024-08-18T13:00:00Z,6,7,0,0,0,0,1,0,3770,0,1,2,0.0,1,0,0,0,50,True,0,1
93,Youssef Ramalho Chermiti,FWD,Everton,0.0,0,0,0,0,0.0,237,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,5,0,0,0,0,1,0,1528,0,3,0,0.0,0,0,0,0,50,True,0,1
94,Morgan Gibbs-White,MID,Nott'm Forest,2.3,0,0,8,0,41.3,433,0.07,0.17,0.1,1.22,6,1,0,6.5,9.8,2024-08-17T14:00:00Z,90,3,0,0,0,0,1,0,430423,1,1,1,14.0,2,0,0,0,65,True,0,1
95,Noni Madueke,MID,Chelsea,1.3,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,36421,0,2,0,0.0,0,0,0,0,65,True,0,1
96,Nélson Cabral Semedo,DEF,Wolves,0.0,0,0,0,0,0.0,559,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,1,0,0,0,0,1,0,1180,0,0,2,0.0,0,0,0,0,45,False,0,1
97,Tommy Doyle,MID,Wolves,0.6,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,1,0,0,0,0,1,0,4063,0,0,2,0.0,0,0,0,0,50,False,0,1
98,Tom Heaton,GK,Man Utd,1.0,0,0,0,0,0.0,374,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,9,0,0,0,0,1,0,20061,0,0,1,0.0,0,0,0,0,40,True,0,1
99,Lucas Bergvall,MID,Spurs,1.5,0,0,9,0,19.4,481,0.14,0.2,0.06,0.12,10,0,0,3.6,11.8,2024-08-19T19:00:00Z,12,11,0,0,0,0,1,0,75912,0,1,1,5.0,1,0,0,0,45,False,0,1
100,Lesley Ugochukwu,MID,Chelsea,0.0,0,0,0,0,0.0,188,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2024-08-18T15:30:00Z,0,13,0,0,0,0,1,0,28052,0,2,0,0.0,0,0,0,0,45,True,0,1
101,Evan Ferguson,FWD,Brighton,0.9,0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,8,0,0,0,0,1,0,9342,0,3,0,0.0,0,0,0,0,55,False,0,1
102,Christian Eriksen,MID,Man Utd,2.0,0,0,0,0,0.0,370,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2024-08-16T19:00:00Z,0,9,0,0,0,0,1,0,17513,0,0,1,0.0,0,0,0,0,55,True,0,1
103,Danny Ings,FWD,West Ham,1.4,0,0,2,0,0.3,523,0.0,0.25,0.25,0.07,7,0,0,2.1,3.2,2024-08-17T16:30:00Z,5,2,0,0,0,0,1,0,84653,0,2,1,17.0,1,0,0,0,50,True,0,1
104,Jean-Ricner Bellegarde,MID,Wolves,0.6,0,0,2,0,1.3,535,0.0,0.07,0.07,0.99,2,1,0,0.0,0.0,2024-08-17T14:00:00Z,56,1,0,0,0,0,1,0,3071,1,0,2,1.0,1,0,0,0,50,False,0,1
